id;beat1;beat3;beatall;phrasbeg;phrasend;cdpcx_raw_all;cpc_raw_all;durclass_abs_raw;durclass_rel_raw;metrical_position;chord_types_raw;chords_raw;phrase_id_raw;mcm_48;pitch_raw;fuzzyint_raw;int_raw;ioiclass_abs_raw;ioiclass_rel_raw
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;3;4;-2;-2;4.6.31.2.3;7;F7;2;16;69;-1.0;-2.0;-2.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;2;2;-1;-1;4.6.31.2.4;7;F7;2;18;67;-1.0;-2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;1.0;1.0;0.0;0.0;1;0;-1;-1;4.2.31.3.1;7;F7;2;24;65;-3.0;-5.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;5;7;-1;-1;4.2.31.3.2;7;F7;2;30;60;2.0;3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;7;10;-1;-1;4.2.31.4.1;7;F7;2;36;63;-1.0;-2.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;%;8;-1;-1;4.2.31.4.2;7;F7;2;42;61;1.0;1.0;-1.0;-1.0
Ah-Leu-Cha.krn;1.0;0.0;1.0;0.0;0.0;3;4;-1;-1;4.3.32.1.1;7;Bb7;2;0;62;2.0;3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;5;7;-1;-1;4.3.32.1.2;7;Bb7;2;4;65;2.0;3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;7;10;-1;-1;4.3.32.1.3;7;Bb7;2;8;68;2.0;3.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;-;1;-1;-1;4.2.32.2.1;7;Bb7;2;12;71;-1.0;-1.0;-1.0;-1.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;1;0;-1;-1;4.2.32.2.2;7;Bb7;2;18;70;-1.0;-2.0;0.0;0.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;7;10;-1;-1;4.2.32.3.2;7;Bb7;2;30;68;1.0;2.0;0.0;0.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;1;0;-2;-2;4.6.32.4.2;7;Bb7;2;38;70;-1.0;-2.0;-2.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;7;10;-2;-2;4.6.32.4.3;7;Bb7;2;40;68;-2.0;-3.0;-2.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;5;7;-1;-1;4.6.32.4.4;7;Bb7;2;42;65;2.0;4.0;-1.0;-1.0
Ah-Leu-Cha.krn;1.0;0.0;1.0;0.0;0.0;3;4;0;0;4.1.33.1.1;maj;F;2;0;69;-4.0;-9.0;0.0;0.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;0.0;0.0;5;7;-1;-1;4.2.33.2.1;maj;F;2;12;60;0.0;0.0;0.0;0.0
Ah-Leu-Cha.krn;0.0;1.0;1.0;0.0;1.0;5;7;1;1;4.1.33.3.1;maj;F;2;24;60;3.0;6.0;2.0;2.0
Ah-Leu-Cha.krn;0.0;0.0;1.0;1.0;0.0;7;11;-1;-2;4.4.35.2.1;-;G-;3;12;66;1.0;1.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;1;0;-1;-2;4.4.35.2.2;-;G-;3;15;67;2.0;3.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;3;3;-1;-2;4.4.35.2.3;-;G-;3;18;70;2.0;4.0;-1.0;-2.0
Ah-Leu-Cha.krn;0.0;0.0;0.0;0.0;0.0;5;7;-1;-2;4.4.35.2.4;-;G-;3;21;74;2.0;3.0;-1.0;-2.0
